site,BreachDate,Domain,PwnCount,DataClasses
Knuddels,2018-09-05,knuddels.de,808330,"['Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Usernames']"
Lanwar,2018-07-28,lanwar.com,45120,"['Email addresses', 'Names', 'Passwords', 'Physical addresses', 'Usernames']"
Lastfm,2012-03-22,last.fm,37217682,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']"
LeagueOfLegends,2012-06-11,leagueoflegends.com,339487,"['Email addresses', 'Passwords', 'Usernames']"
Leet,2016-09-10,leet.cc,5081689,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
Lifeboat,2016-01-01,lbsg.net,7089395,"['Email addresses', 'Passwords', 'Usernames']"
LightsHope,2018-06-25,lightshope.org,30484,"['Dates of birth', 'Email addresses', 'Geographic locations', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']"
LinkedIn,2012-05-05,linkedin.com,164611595,"['Email addresses', 'Passwords']"
LinuxForums,2018-05-01,linuxforums.org,275785,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
LinuxMint,2016-02-21,linuxmint.com,144989,"['Avatars', 'Dates of birth', 'Email addresses', 'Geographic locations', 'IP addresses', 'Passwords', 'Time zones', 'Website activity']"
LittleMonsters,2017-01-01,littlemonsters.com,995698,"['Dates of birth', 'Email addresses', 'Passwords', 'Usernames']"
LizardSquad,2015-01-16,lizardstresser.su,13451,"['Email addresses', 'Passwords', 'Usernames']"
Lookbook,2012-08-24,lookbook.nu,1074948,"['Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']"
LOTR,2013-08-01,lotro.com,1141278,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
LoungeBoard,2013-08-01,loungeboard.net,45018,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Private messages', 'Usernames', 'Website activity']"
LyricsMania,2017-12-21,lyricsmania.com,109202,"['Email addresses', 'Passwords', 'Usernames']"
MacForums,2016-07-03,mac-forums.com,326714,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Mac-Torrents,2015-10-31,mac-torrents.com,93992,"['Email addresses', 'Passwords', 'Usernames']"
MailRu,2014-09-10,mail.ru,16630988,"['Email addresses', 'Passwords']"
MajorGeeks,2015-11-15,majorgeeks.com,269548,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
MallCZ,2017-07-27,mall.cz,735405,"['Email addresses', 'Names', 'Passwords', 'Phone numbers']"
Malwarebytes,2014-11-15,malwarebytes.org,111623,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
MangaTraders,2014-06-09,mangatraders.com,855249,"['Email addresses', 'Passwords']"
MangaFox,2016-06-01,mangafox.me,1311610,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Mappery,2018-12-11,mappery.com,205242,"['Email addresses', 'Geographic locations', 'Passwords', 'Usernames']"
MasterDeeds,2017-03-14,,2257930,"['Dates of birth', 'Deceased statuses', 'Email addresses', 'Employers', 'Ethnicities', 'Genders', 'Government issued IDs', 'Home ownership statuses', 'Job titles', 'Names', 'Nationalities', 'Phone numbers', 'Physical addresses']"
Mate1,2016-02-29,mate1.com,27393015,"['Astrological signs', 'Dates of birth', 'Drinking habits', 'Drug habits', 'Education levels', 'Email addresses', 'Ethnicities', 'Fitness levels', 'Genders', 'Geographic locations', 'Income levels', 'Job titles', 'Names', 'Parenting plans', 'Passwords', 'Personal descriptions', 'Physical attributes', 'Political views', 'Relationship statuses', 'Religions', 'Sexual fetishes', 'Travel habits', 'Usernames', 'Website activity', 'Work habits']"
MCBans,2016-10-27,mcbans.com,119948,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
MDPI,2016-08-30,mdpi.com,845012,"['Email addresses', 'Email messages', 'IP addresses', 'Names']"
MinecraftPocketEditionForum,2015-05-24,minecraftpeforum.net,16034,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
MinecraftWorldMap,2016-01-15,minecraftworldmap.com,71081,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Minefield,2015-06-28,minefield.fr,188343,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
MoDaCo,2016-01-01,modaco.com,879703,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
ModernBusinessSolutions,2016-10-08,modbsolutions.com,58843488,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses']"
MoneyBookers,2009-01-01,moneybookers.com,4483605,"['Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses']"
MoreleNet,2018-10-10,morele.net,2467304,"['Email addresses', 'Names', 'Passwords', 'Phone numbers']"
MortalOnline,2018-06-17,mortalonline.com,606637,"['Email addresses', 'Names', 'Passwords', 'Physical addresses', 'Usernames']"
MPGH,2015-10-22,mpgh.net,3122898,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
MrExcel,2016-12-05,mrexcel.com,366140,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Social connections', 'Usernames', 'Website activity']"
mSpy,2015-05-14,mspy.com,699793,['Device usage tracking data']
MuslimDirectory,2014-02-17,muslimdirectory.co.uk,37784,"['Age groups', 'Email addresses', 'Employers', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Website activity']"
MuslimMatch,2016-06-24,muslimmatch.com,149830,"['Chat logs', 'Email addresses', 'Geographic locations', 'IP addresses', 'Passwords', 'Private messages', 'User statuses', 'Usernames']"
MyFHA,2015-02-18,myfha.net,972629,"['Credit status information', 'Email addresses', 'Home loan information', 'Income levels', 'IP addresses', 'Names', 'Passwords', 'Personal descriptions', 'Physical addresses']"
MyFitnessPal,2018-02-01,myfitnesspal.com,143606147,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
MyHeritage,2017-10-26,myheritage.com,91991358,"['Email addresses', 'Passwords']"
myRepoSpace,2015-07-06,myrepospace.com,252751,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
MySpace,2008-07-01,myspace.com,359420698,"['Email addresses', 'Passwords', 'Usernames']"
MyVidster,2015-08-15,myvidster.com,19863,"['Email addresses', 'Passwords', 'Usernames']"
NapsGear,2015-10-21,napsgear.org,287071,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases']"
NaughtyAmerica,2016-03-14,naughtyamerica.com,1398630,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
NemoWeb,2016-09-04,nemoweb.net,3472916,"['Email addresses', 'Names']"
Neopets,2013-05-05,neopets.com,26892897,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Names', 'Passwords', 'Usernames']"
NetEase,2015-10-19,163.com,234842089,"['Email addresses', 'Passwords']"
Neteller,2010-05-17,neteller.com,3619948,"['Account balances', 'Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Security questions and answers', 'Website activity']"
NetProspex,2016-09-01,netprospex.com,33698126,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses']"
Netshoes,2017-12-07,netshoes.com.br,499836,"['Dates of birth', 'Email addresses', 'Names', 'Purchases']"
NextGenUpdate,2014-04-22,nextgenupdate.com,1194597,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
NexusMods,2013-07-22,nexusmods.com,5915013,"['Email addresses', 'Passwords', 'Usernames']"
Nihonomaru,2015-12-01,nihonomaru.net,1697282,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Nival,2016-02-29,nival.com,1535473,"['Avatars', 'Dates of birth', 'Email addresses', 'Genders', 'Names', 'Spoken languages', 'Usernames', 'Website activity']"
NonNudeGirls,2013-05-21,nonnudegirls.org,75383,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']"
Nulled,2016-05-06,nulled.cr,599080,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Usernames', 'Website activity']"
OGUsers,2018-12-26,ogusers.com,161143,"['Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']"
OnlinerSpambot,2017-08-28,,711477622,"['Email addresses', 'Passwords']"
Onverse,2016-01-01,onverse.com,800157,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
OpenCSGO,2017-11-28,opencsgo.com,512311,"['Avatars', 'Email addresses', 'IP addresses', 'Phone numbers', 'Physical addresses', 'Purchases', 'Social media profiles', 'Usernames']"
OrdineAvvocatiDiRoma,2019-05-07,ordineavvocatiroma.it,41960,"['Email addresses', 'Email messages', 'Geographic locations', 'Passwords', 'Phone numbers']"
OVH,2015-05-01,ovh.com,452899,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
OwnedCore,2013-08-01,OwnedCore.com,880331,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
PaddyPower,2010-10-25,paddypower.com,590954,"['Account balances', 'Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Security questions and answers', 'Usernames', 'Website activity']"
Patreon,2015-10-01,patreon.com,2330382,"['Email addresses', 'Payment histories', 'Physical addresses', 'Private messages', 'Website activity']"
PayAsUGym,2016-12-15,payasugym.com,400260,"['Browser user agent details', 'Email addresses', 'IP addresses', 'Names', 'Partial credit card data', 'Passwords', 'Phone numbers', 'Website activity']"
Pemiblanc,2018-04-02,pemiblanc.com,110964206,"['Email addresses', 'Passwords']"
PHPFreaks,2015-10-27,phpfreaks.com,173891,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
PixelFederation,2013-12-04,pixelfederation.com,38108,"['Email addresses', 'Passwords']"
Plex,2015-07-02,plex.tv,327314,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Pokebip,2015-07-28,pokebip.com,657001,"['Email addresses', 'IP addresses', 'Passwords', 'Time zones', 'Usernames', 'Website activity']"
PokemonCreed,2014-08-08,pokemoncreed.net,116465,"['Email addresses', 'Genders', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
PokemonNegro,2016-10-01,pokemonnegro.com,830155,"['Email addresses', 'IP addresses', 'Passwords']"
PoliceOne,2014-07-01,policeone.com,709926,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Powerbot,2014-09-01,powerbot.org,503501,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
ProgrammingForums,2015-12-01,programmingforums.org,707432,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
PS3Hax,2015-07-01,ps3hax.net,447410,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
PSPISO,2015-09-25,pspiso.com,1274070,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
PSX-Scene,2015-02-01,psx-scene.com,341118,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
QatarNationalBank,2015-07-01,qnb.com,88678,"['Bank account numbers', 'Customer feedback', 'Dates of birth', 'Financial transactions', 'Genders', 'Geographic locations', 'Government issued IDs', 'IP addresses', 'Marital statuses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'PINs', 'Security questions and answers', 'Spoken languages']"
QIP,2011-06-01,qip.ru,26183992,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']"
QuantumBooter,2014-03-18,quantumbooter.net,48592,"['Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Usernames', 'Website activity']"
QuinStreet,2015-12-14,quinstreet.com,4907802,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
R2-2017,2017-01-01,r2games.com,1023466,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']"
R2Games,2015-11-01,r2games.com,22281337,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Rambler,2014-03-01,rambler.ru,91436280,"['Email addresses', 'Passwords', 'Usernames']"
Rankwatch,2016-11-19,rankwatch.com,7445067,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Phone numbers']"
RbxRocks,2018-08-06,rbx.rocks,24990,"['Email addresses', 'Names', 'Passwords']"
RealEstateMogul,2016-09-06,realestatemogul.com,307768,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']"
BlueSnapRegpack,2016-05-20,bluesnap.com,104977,"['Browser user agent details', 'Credit card CVV', 'Email addresses', 'IP addresses', 'Names', 'Partial credit card data', 'Phone numbers', 'Physical addresses', 'Purchases']"
RetinaX,2017-02-23,retinax.com,71153,"['Email addresses', 'Passwords']"
Reverb-Nation,2014-01-01,reverbnation.com,7040725,"['Email addresses', 'Passwords']"
RiverCityMedia,2017-01-01,rivercitymediaonline.com,393430309,"['Email addresses', 'IP addresses', 'Names', 'Physical addresses']"
RosebuttBoard,2016-05-09,rosebuttboard.com,107303,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
RussianAmerica,2017-01-01,russianamerica.com,182717,"['Email addresses', 'Names', 'Passwords', 'Phone numbers']"
SaverSpy,2018-09-18,,2457420,"['Email addresses', 'Genders', 'Names', 'Physical addresses']"
SCDailyPhoneSpamList,2015-04-14,data4marketers.com,32939105,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Physical addresses']"
Seedpeer,2015-07-12,seedpeer.eu,281924,"['Email addresses', 'Passwords', 'Usernames']"
ServerPact,2016-01-01,serverpact.com,73587,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
ShareThis,2018-07-09,sharethis.com,40960499,"['Dates of birth', 'Email addresses', 'Names', 'Passwords']"
Shotbow,2016-05-09,shotbow.net,1052753,"['Email addresses', 'Passwords', 'Usernames']"
SkTorrent,2016-02-19,sktorrent.eu,117070,"['Email addresses', 'Passwords', 'Usernames']"
Smogon,2017-09-10,smogon.com,386489,"['Email addresses', 'Genders', 'Geographic locations', 'Passwords', 'Usernames', 'Website activity']"
Snapchat,2014-01-01,snapchat.com,4609615,"['Geographic locations', 'Phone numbers', 'Usernames']"
SocialEngineered,2019-06-13,socialengineered.net,89392,"['Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']"
SIAE,2018-11-03,siae.it,14609,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Phone numbers']"
Sony,2011-06-02,sony.com,37103,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']"
Soundwave,2015-07-16,soundwave.com,130705,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Names', 'Passwords', 'Social connections']"
SpecialKSpamList,2015-10-07,data4marketers.com,30741620,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Physical addresses']"
Spirol,2014-02-22,spirol.com,55622,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses']"
SpyFone,2018-08-16,spyfone.com,44109,"['Audio recordings', 'Browsing histories', 'Device information', 'Email addresses', 'Geographic locations', 'IMEI numbers', 'IP addresses', 'Names', 'Passwords', 'Photos', 'SMS messages']"
Staminus,2016-03-11,staminus.net,26815,"['Credit cards', 'Email addresses', 'IP addresses', 'Passwords', 'Support tickets', 'Usernames']"
StarNet,2015-02-26,starnet.md,139395,"['Customer interactions', 'Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'MAC addresses', 'Names', 'Passport numbers', 'Passwords', 'Phone numbers']"
SterKinekor,2017-03-09,sterkinekor.co.za,1619544,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Spoken languages']"
Stratfor,2011-12-24,stratfor.com,859777,"['Credit cards', 'Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']"
SumoTorrent,2014-06-21,sumotorrent.sx,285191,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
SvenskaMagic,2015-07-01,svenskamagic.com,30327,"['Email addresses', 'Passwords', 'Usernames']"
SweClockers,2015-04-01,sweclockers.com,254867,"['Email addresses', 'Passwords', 'Usernames']"
Taobao,2012-01-01,taobao.com,21149008,"['Email addresses', 'Passwords']"
Taringa,2017-08-01,taringa.net,27971100,"['Email addresses', 'Passwords', 'Usernames']"
Solomid,2014-12-22,solomid.net,442166,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Technic,2018-11-30,technicpack.net,265410,"['Chat logs', 'Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Time zones']"
TRAI,2015-04-27,trai.gov.in,107776,"['Email addresses', 'Email messages']"
Teracod,2016-05-28,teracod.org,97151,"['Avatars', 'Email addresses', 'IP addresses', 'Passwords', 'Payment histories', 'Private messages', 'Usernames', 'Website activity']"
Tesco,2014-02-12,tesco.com,2239,"['Email addresses', 'Passwords', 'Reward program balances']"
TGBUS,2017-09-01,tgbus.com,10371766,"['Email addresses', 'Passwords', 'Usernames']"
TheCandidBoard,2015-09-03,thecandidboard.com,178201,"['Dates of birth', 'Email addresses', 'Geographic locations', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
TheFappening,2015-12-01,thefappening.so,179030,"['Email addresses', 'Passwords', 'Usernames']"
TheFlyOnTheWall,2017-12-31,theflyonthewall.com,84011,"['Age groups', 'Credit cards', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases', 'Usernames']"
TheTVDB,2017-11-21,thetvdb.com,181871,"['Email addresses', 'Passwords', 'Usernames']"
ThisHabboForum,2014-01-01,thishabboforum.com,612414,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Tianya,2011-12-26,tianya.cn,29020808,"['Email addresses', 'Names', 'Usernames']"
Ticketfly,2018-05-31,ticketfly.com,26151608,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']"
TorrentInvites,2013-12-12,torrent-invites.com,352120,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
TrikSpamBotnet,2018-06-12,,43432346,['Email addresses']
Trillian,2015-12-27,trillian.im,3827238,"['Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Usernames']"
TruckersMP,2016-02-25,truckersmp.com,83957,"['Email addresses', 'Passwords', 'Usernames']"
Tumblr,2013-02-28,tumblr.com,65469298,"['Email addresses', 'Passwords']"
Uiggy,2016-06-01,uiggy.com,2682650,"['Email addresses', 'Genders', 'Names', 'Social connections', 'Website activity']"
IGF,2014-02-20,intgovforum.org,3200,"['Email addresses', 'Names', 'Passwords', 'Usernames']"
UnderworldEmpire,2017-04-25,underworldempireforums.com,428779,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
UnrealEngine,2016-08-11,unrealengine.com,530147,"['Email addresses', 'Passwords', 'Usernames']"
uTorrent,2016-01-14,utorrent.com,395044,"['Email addresses', 'Passwords', 'Usernames']"
uuu9,2016-09-06,uuu9.com,7485802,"['Email addresses', 'Passwords', 'Usernames']"
VBulletin,2015-11-03,vbulletin.com,518966,"['Dates of birth', 'Email addresses', 'Homepage URLs', 'Instant messenger identities', 'IP addresses', 'Passwords', 'Security questions and answers', 'Spoken languages', 'Website activity']"
VerificationsIO,2019-02-25,verifications.io,763117241,"['Dates of birth', 'Email addresses', 'Employers', 'Genders', 'Geographic locations', 'IP addresses', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses']"
Verified,2014-01-10,verified.cm,16919,"['Email addresses', 'Historical passwords', 'IP addresses', 'Passwords', 'Private messages', 'Usernames', 'Website activity']"
VictoryPhones,2017-01-01,victoryphones.com,166046,"['Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses']"
ViewFines,2018-05-07,viewfines.co.za,777649,"['Email addresses', 'Government issued IDs', 'Names', 'Passwords', 'Phone numbers']"
VK,2012-01-01,vk.com,93338602,"['Email addresses', 'Names', 'Passwords', 'Phone numbers']"
VNG,2015-05-19,zing.vn,24853850,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Marital statuses', 'Names', 'Occupations', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']"
Vodafone,2013-11-30,vodafone.is,56021,"['Credit cards', 'Email addresses', 'Government issued IDs', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases', 'SMS messages', 'Usernames']"
VTech,2015-11-13,vtechda.com,4833678,"['Dates of birth', 'Email addresses', ""Family members' names"", 'Genders', 'IP addresses', 'Names', 'Passwords', 'Physical addresses', 'Security questions and answers', 'Usernames', 'Website activity']"
VTightGel,2016-02-13,vtightgel.com,2013164,"['Email addresses', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses']"
WarInc,2012-07-04,thewarinc.com,1020136,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']"
Warframe,2014-11-24,warframe.com,819478,"['Email addresses', 'Usernames', 'Website activity']"
Warmane,2016-12-01,warmane.com,1116256,"['Dates of birth', 'Email addresses', 'Passwords', 'Usernames']"
WeHeartIt,2013-11-03,weheartit.com,8600635,"['Email addresses', 'Passwords', 'Usernames']"
Whitepages,2016-06-27,whitepages.com,11657763,"['Email addresses', 'Names', 'Passwords']"
WHMCS,2012-05-21,whmcs.com,134047,"['Email addresses', 'Email messages', 'Employers', 'IP addresses', 'Names', 'Partial credit card data', 'Passwords', 'Payment histories', 'Physical addresses', 'Website activity']"
WienerBuchereien,2019-06-10,,224119,"['Dates of birth', 'Email addresses', 'Names', 'Phone numbers', 'Physical addresses']"
WifeLovers,2018-10-07,wifelovers.com,1274051,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Usernames']"
WIIUISO,2015-09-25,wiiuiso.com,458155,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
WildStar,2015-07-11,wildstar-online.com,738556,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Win7Vista,2013-09-03,win7vista.com,202683,"['Email addresses', 'Instant messenger identities', 'IP addresses', 'Names', 'Passwords', 'Private messages', 'Usernames', 'Website activity']"
Wishbone,2016-08-07,wishbone.io,2247314,"['Auth tokens', 'Dates of birth', 'Email addresses', 'Genders', 'Names', 'Phone numbers', 'Usernames']"
WPSandbox,2018-11-04,wpsandbox.io,858,"['Email addresses', 'Passwords']"
WPT,2014-01-04,wptapl.com,148366,"['Email addresses', 'Passwords']"
xat,2015-11-04,xat.com,5968783,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
Xbox360ISO,2015-09-25,xbox360iso.com,1296959,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Xbox-Scene,2015-02-01,xboxscene.com,432552,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
xHamster,2016-11-28,xhamster.com,377377,"['Email addresses', 'Passwords', 'Usernames']"
XPGameSaves,2016-01-01,xpgamesaves.com,890341,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
XSplit,2013-11-07,xsplit.com,2983472,"['Email addresses', 'Names', 'Passwords', 'Usernames']"
Yahoo,2012-07-11,yahoo.com,453427,"['Email addresses', 'Passwords']"
Yandex,2014-09-07,forum.btcsec.com,1186564,"['Email addresses', 'Passwords']"
Yatra,2013-09-01,yatra.com,5033997,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'PINs']"
Youku,2016-12-01,youku.com,91890110,"['Email addresses', 'Passwords']"
YouPorn,2012-02-21,youporn.com,1327567,"['Email addresses', 'Passwords']"
YouveBeenScraped,2018-10-05,,66147869,"['Email addresses', 'Employers', 'Geographic locations', 'Job titles', 'Names', 'Social media profiles']"
Zomato,2017-05-17,zomato.com,16472873,"['Email addresses', 'Passwords', 'Usernames']"
Zoosk,2011-01-01,zoosk.com,52578183,"['Email addresses', 'Passwords']"
Parapa,2016-08-08,parapa.mail.ru,4946850,"['Email addresses', 'Passwords', 'Usernames']"
SprashivaiRu,2015-05-11,sprashivai.ru,3474763,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Passwords', 'Spoken languages']"
